tile_id,row,col,xmin,ymin,xmax,ymax,valid_frac,features_path,label_path,background_px,rock_px,shallow_rock_px,sand_px
polygon4_r000_c000,0,0,685620.0,3637112.0,685748.0,3637240.0,0.5784,outputs/polygon4/t128m_o50pct_r1m/tiles/features/polygon4_r000_c000.tif,outputs/polygon4/t128m_o50pct_r1m/tiles/labels/polygon4_r000_c000.tif,6901,856,3192,5435
polygon4_r000_c001,0,1,685684.0,3637112.0,685812.0,3637240.0,0.7464,outputs/polygon4/t128m_o50pct_r1m/tiles/features/polygon4_r000_c001.tif,outputs/polygon4/t128m_o50pct_r1m/tiles/labels/polygon4_r000_c001.tif,4124,1730,4766,5764
polygon4_r001_c000,1,0,685620.0,3637048.0,685748.0,3637176.0,0.7026,outputs/polygon4/t128m_o50pct_r1m/tiles/features/polygon4_r001_c000.tif,outputs/polygon4/t128m_o50pct_r1m/tiles/labels/polygon4_r001_c000.tif,4993,1108,3631,6652
polygon4_r001_c001,1,1,685684.0,3637048.0,685812.0,3637176.0,0.9787,outputs/polygon4/t128m_o50pct_r1m/tiles/features/polygon4_r001_c001.tif,outputs/polygon4/t128m_o50pct_r1m/tiles/labels/polygon4_r001_c001.tif,484,2488,7649,5763
polygon4_r001_c002,1,2,685748.0,3637048.0,685876.0,3637176.0,0.9013,outputs/polygon4/t128m_o50pct_r1m/tiles/features/polygon4_r001_c002.tif,outputs/polygon4/t128m_o50pct_r1m/tiles/labels/polygon4_r001_c002.tif,1621,2064,8438,4261
polygon4_r001_c003,1,3,685812.0,3637048.0,685940.0,3637176.0,0.642,outputs/polygon4/t128m_o50pct_r1m/tiles/features/polygon4_r001_c003.tif,outputs/polygon4/t128m_o50pct_r1m/tiles/labels/polygon4_r001_c003.tif,5810,773,6426,3375
polygon4_r002_c001,2,1,685684.0,3636984.0,685812.0,3637112.0,0.6619,outputs/polygon4/t128m_o50pct_r1m/tiles/features/polygon4_r002_c001.tif,outputs/polygon4/t128m_o50pct_r1m/tiles/labels/polygon4_r002_c001.tif,5703,758,3006,6917
polygon4_r002_c002,2,2,685748.0,3636984.0,685876.0,3637112.0,0.912,outputs/polygon4/t128m_o50pct_r1m/tiles/features/polygon4_r002_c002.tif,outputs/polygon4/t128m_o50pct_r1m/tiles/labels/polygon4_r002_c002.tif,1662,1340,7053,6329
polygon4_r002_c003,2,3,685812.0,3636984.0,685940.0,3637112.0,0.9742,outputs/polygon4/t128m_o50pct_r1m/tiles/features/polygon4_r002_c003.tif,outputs/polygon4/t128m_o50pct_r1m/tiles/labels/polygon4_r002_c003.tif,604,3561,8221,3998
polygon4_r002_c004,2,4,685876.0,3636984.0,686004.0,3637112.0,0.8018,outputs/polygon4/t128m_o50pct_r1m/tiles/features/polygon4_r002_c004.tif,outputs/polygon4/t128m_o50pct_r1m/tiles/labels/polygon4_r002_c004.tif,3249,3589,7624,1922
polygon4_r003_c003,3,3,685812.0,3636920.0,685940.0,3637048.0,0.7972,outputs/polygon4/t128m_o50pct_r1m/tiles/features/polygon4_r003_c003.tif,outputs/polygon4/t128m_o50pct_r1m/tiles/labels/polygon4_r003_c003.tif,3607,3012,3060,6705
polygon4_r003_c004,3,4,685876.0,3636920.0,686004.0,3637048.0,0.9725,outputs/polygon4/t128m_o50pct_r1m/tiles/features/polygon4_r003_c004.tif,outputs/polygon4/t128m_o50pct_r1m/tiles/labels/polygon4_r003_c004.tif,561,5259,6268,4296
polygon4_r003_c005,3,5,685940.0,3636920.0,686068.0,3637048.0,0.915,outputs/polygon4/t128m_o50pct_r1m/tiles/features/polygon4_r003_c005.tif,outputs/polygon4/t128m_o50pct_r1m/tiles/labels/polygon4_r003_c005.tif,1502,5088,7584,2210
polygon4_r003_c006,3,6,686004.0,3636920.0,686132.0,3637048.0,0.6679,outputs/polygon4/t128m_o50pct_r1m/tiles/features/polygon4_r003_c006.tif,outputs/polygon4/t128m_o50pct_r1m/tiles/labels/polygon4_r003_c006.tif,5563,3191,5937,1693
polygon4_r004_c004,4,4,685876.0,3636856.0,686004.0,3636984.0,0.636,outputs/polygon4/t128m_o50pct_r1m/tiles/features/polygon4_r004_c004.tif,outputs/polygon4/t128m_o50pct_r1m/tiles/labels/polygon4_r004_c004.tif,6079,1767,1784,6754
