tile_id,row,col,xmin,ymin,xmax,ymax,valid_frac,features_path,label_path,background_px,rock_px,shallow_rock_px,sand_px
polygon5_r000_c000,0,0,688110.0,3635572.0,688238.0,3635700.0,0.5508,outputs\polygon5\t128m_o50pct_r1m\tiles\features\polygon5_r000_c000.tif,outputs\polygon5\t128m_o50pct_r1m\tiles\labels\polygon5_r000_c000.tif,10770,3266,269,2079
polygon5_r000_c001,0,1,688174.0,3635572.0,688302.0,3635700.0,0.6842,outputs\polygon5\t128m_o50pct_r1m\tiles\features\polygon5_r000_c001.tif,outputs\polygon5\t128m_o50pct_r1m\tiles\labels\polygon5_r000_c001.tif,9017,2444,894,4029
polygon5_r001_c000,1,0,688110.0,3635508.0,688238.0,3635636.0,0.7504,outputs\polygon5\t128m_o50pct_r1m\tiles\features\polygon5_r001_c000.tif,outputs\polygon5\t128m_o50pct_r1m\tiles\labels\polygon5_r001_c000.tif,7546,5602,382,2854
polygon5_r001_c001,1,1,688174.0,3635508.0,688302.0,3635636.0,0.985,outputs\polygon5\t128m_o50pct_r1m\tiles\features\polygon5_r001_c001.tif,outputs\polygon5\t128m_o50pct_r1m\tiles\labels\polygon5_r001_c001.tif,3354,3980,1012,8038
polygon5_r001_c002,1,2,688238.0,3635508.0,688366.0,3635636.0,0.8557,outputs\polygon5\t128m_o50pct_r1m\tiles\features\polygon5_r001_c002.tif,outputs\polygon5\t128m_o50pct_r1m\tiles\labels\polygon5_r001_c002.tif,3631,1359,656,10738
polygon5_r001_c003,1,3,688302.0,3635508.0,688430.0,3635636.0,0.5671,outputs\polygon5\t128m_o50pct_r1m\tiles\features\polygon5_r001_c003.tif,outputs\polygon5\t128m_o50pct_r1m\tiles\labels\polygon5_r001_c003.tif,7132,419,26,8807
polygon5_r002_c001,2,1,688174.0,3635444.0,688302.0,3635572.0,0.734,outputs\polygon5\t128m_o50pct_r1m\tiles\features\polygon5_r002_c001.tif,outputs\polygon5\t128m_o50pct_r1m\tiles\labels\polygon5_r002_c001.tif,6015,2990,374,7005
polygon5_r002_c002,2,2,688238.0,3635444.0,688366.0,3635572.0,0.9467,outputs\polygon5\t128m_o50pct_r1m\tiles\features\polygon5_r002_c002.tif,outputs\polygon5\t128m_o50pct_r1m\tiles\labels\polygon5_r002_c002.tif,2356,1336,1243,11449
polygon5_r002_c003,2,3,688302.0,3635444.0,688430.0,3635572.0,0.9489,outputs\polygon5\t128m_o50pct_r1m\tiles\features\polygon5_r002_c003.tif,outputs\polygon5\t128m_o50pct_r1m\tiles\labels\polygon5_r002_c003.tif,1313,866,983,13222
polygon5_r002_c004,2,4,688366.0,3635444.0,688494.0,3635572.0,0.739,outputs\polygon5\t128m_o50pct_r1m\tiles\features\polygon5_r002_c004.tif,outputs\polygon5\t128m_o50pct_r1m\tiles\labels\polygon5_r002_c004.tif,4308,462,6,11608
polygon5_r003_c002,3,2,688238.0,3635380.0,688366.0,3635508.0,0.5616,outputs\polygon5\t128m_o50pct_r1m\tiles\features\polygon5_r003_c002.tif,outputs\polygon5\t128m_o50pct_r1m\tiles\labels\polygon5_r003_c002.tif,8329,698,1238,6119
polygon5_r003_c003,3,3,688302.0,3635380.0,688430.0,3635508.0,0.8521,outputs\polygon5\t128m_o50pct_r1m\tiles\features\polygon5_r003_c003.tif,outputs\polygon5\t128m_o50pct_r1m\tiles\labels\polygon5_r003_c003.tif,3055,1984,1009,10336
polygon5_r003_c004,3,4,688366.0,3635380.0,688494.0,3635508.0,0.9849,outputs\polygon5\t128m_o50pct_r1m\tiles\features\polygon5_r003_c004.tif,outputs\polygon5\t128m_o50pct_r1m\tiles\labels\polygon5_r003_c004.tif,448,1807,1595,12534
polygon5_r003_c005,3,5,688430.0,3635380.0,688558.0,3635508.0,0.8724,outputs\polygon5\t128m_o50pct_r1m\tiles\features\polygon5_r003_c005.tif,outputs\polygon5\t128m_o50pct_r1m\tiles\labels\polygon5_r003_c005.tif,2154,1071,1647,11512
polygon5_r003_c006,3,6,688494.0,3635380.0,688622.0,3635508.0,0.593,outputs\polygon5\t128m_o50pct_r1m\tiles\features\polygon5_r003_c006.tif,outputs\polygon5\t128m_o50pct_r1m\tiles\labels\polygon5_r003_c006.tif,6704,1058,79,8543
polygon5_r004_c004,4,4,688366.0,3635316.0,688494.0,3635444.0,0.7101,outputs\polygon5\t128m_o50pct_r1m\tiles\features\polygon5_r004_c004.tif,outputs\polygon5\t128m_o50pct_r1m\tiles\labels\polygon5_r004_c004.tif,5164,1630,1589,8001
polygon5_r004_c005,4,5,688430.0,3635316.0,688558.0,3635444.0,0.9357,outputs\polygon5\t128m_o50pct_r1m\tiles\features\polygon5_r004_c005.tif,outputs\polygon5\t128m_o50pct_r1m\tiles\labels\polygon5_r004_c005.tif,1128,976,1859,12421
polygon5_r004_c006,4,6,688494.0,3635316.0,688622.0,3635444.0,0.9587,outputs\polygon5\t128m_o50pct_r1m\tiles\features\polygon5_r004_c006.tif,outputs\polygon5\t128m_o50pct_r1m\tiles\labels\polygon5_r004_c006.tif,699,854,1066,13765
polygon5_r004_c007,4,7,688558.0,3635316.0,688686.0,3635444.0,0.7616,outputs\polygon5\t128m_o50pct_r1m\tiles\features\polygon5_r004_c007.tif,outputs\polygon5\t128m_o50pct_r1m\tiles\labels\polygon5_r004_c007.tif,3985,50,770,11579
polygon5_r005_c005,5,5,688430.0,3635252.0,688558.0,3635380.0,0.5358,outputs\polygon5\t128m_o50pct_r1m\tiles\features\polygon5_r005_c005.tif,outputs\polygon5\t128m_o50pct_r1m\tiles\labels\polygon5_r005_c005.tif,7660,721,301,7702
polygon5_r005_c006,5,6,688494.0,3635252.0,688622.0,3635380.0,0.834,outputs\polygon5\t128m_o50pct_r1m\tiles\features\polygon5_r005_c006.tif,outputs\polygon5\t128m_o50pct_r1m\tiles\labels\polygon5_r005_c006.tif,2768,657,3314,9645
polygon5_r005_c007,5,7,688558.0,3635252.0,688686.0,3635380.0,0.9825,outputs\polygon5\t128m_o50pct_r1m\tiles\features\polygon5_r005_c007.tif,outputs\polygon5\t128m_o50pct_r1m\tiles\labels\polygon5_r005_c007.tif,495,1090,3487,11312
polygon5_r005_c008,5,8,688622.0,3635252.0,688750.0,3635380.0,0.8882,outputs\polygon5\t128m_o50pct_r1m\tiles\features\polygon5_r005_c008.tif,outputs\polygon5\t128m_o50pct_r1m\tiles\labels\polygon5_r005_c008.tif,2562,3067,1622,9133
